timestamp,type,level,position_size,spread_pct,spot_price,futures_price,trade_amount,futures_fee,margin_fee,slippage_cost,total_fees,net_pnl,arbitrage_direction,entry_spread_pct,exit_spread_pct,spread_change_pct,gross_pnl,funding_fee,margin_carry_fee,total_carry_fee,exit_reason,timestamp_str
2023-08-05 14:39:00,entry,1,2235.69551705042,6.145940390544704,0.4865,0.5164,1087.6658690450295,1.0876658690450296,1.0876658690450296,0.10876658690450296,2.284098324994562,0.0,positive,,,,,,,,,2023-08-05 14:39:00
2023-08-05 14:43:00,exit,1,2235.69551705042,,0.4956,0.4933,1108.0106982501882,1.1080106982501883,1.1080106982501883,0.11080106982501882,2.3835679367889075,70.85620878774169,positive,6.145940390544704,-0.4640839386602036,6.610024329204907,73.2397767245306,0.0,0.05674547046351191,0.05674547046351191,normal,2023-08-05 14:43:00
2023-08-06 10:24:00,entry,1,2082.8530621314235,-2.0490233626962935,0.5222,0.5115,1087.6658690450292,1.0876658690450292,1.0876658690450292,0.10876658690450293,2.2840983249945612,0.0,negative,,,,,,,,,2023-08-06 10:24:00
2023-08-06 11:04:00,entry,2,3124.279593197135,-4.7484053862508935,0.5644,0.5376,1763.343402400463,1.763343402400463,1.763343402400463,0.1763343402400463,3.7030211450409722,0.0,negative,,,,,,,,,2023-08-06 11:04:00
2023-08-06 12:32:00,entry,3,3124.279593197135,-6.0082872928176885,0.5792,0.5444,1809.5827403797807,1.8095827403797808,1.8095827403797808,0.18095827403797807,3.8001237547975397,0.0,negative,,,,,,,,,2023-08-06 12:32:00
2023-08-06 14:01:00,exit,1,2082.8530621314235,,0.5743,0.5761,1196.1825135820766,1.1961825135820765,1.1961825135820765,0.11961825135820767,3.19607687231886,25.063117803302035,negative,-2.0490233626962935,0.3134250391781147,2.362448401874408,28.259194675620893,0.0,0.6840935937964993,0.6840935937964993,normal,2023-08-06 14:01:00
2023-08-06 14:01:00,exit,2,3124.279593197135,,0.5743,0.5761,1794.2737703731148,1.7942737703731149,1.7942737703731149,0.1794273770373115,4.79411530847829,86.02898031576024,negative,-4.7484053862508935,0.3134250391781147,5.061830425429008,90.82309562423853,0.0,1.0261403906947488,1.0261403906947488,normal,2023-08-06 14:01:00
2023-08-06 14:01:00,exit,3,3124.279593197135,,0.5743,0.5761,1794.2737703731148,1.7942737703731149,1.7942737703731149,0.1794273770373115,4.79411530847829,108.63471090296497,negative,-6.0082872928176885,0.3134250391781147,6.321712331995803,113.42882621144325,0.0,1.0261403906947488,1.0261403906947488,normal,2023-08-06 14:01:00
2023-08-06 16:00:00,entry,1,1943.9961913226618,-2.037533512064337,0.5595,0.5481,1087.6658690450292,1.0876658690450292,1.0876658690450292,0.10876658690450293,2.2840983249945612,0.0,negative,,,,,,,,,2023-08-06 16:00:00
2023-08-06 19:41:00,exit,1,1943.9961913226618,,0.539,0.539,1047.813947122915,1.0478139471229149,1.0478139471229149,0.10478139471229149,4.186907566166131,17.162652750547352,negative,-2.037533512064337,0.0,2.037533512064337,21.349560316713482,1.1587774441232315,0.8277208330847781,1.9864982772080095,normal,2023-08-06 19:41:00
2023-08-07 01:58:00,entry,1,1808.556483280727,-2.0119720651812436,0.6014,0.5893,1087.6658690450292,1.0876658690450292,1.0876658690450292,0.10876658690450293,2.2840983249945612,0.0,negative,,,,,,,,,2023-08-07 01:58:00
2023-08-07 10:40:00,entry,2,2712.8347249210906,-6.082525069866829,0.6083,0.5713,1650.2173631694993,1.6502173631694994,1.6502173631694994,0.16502173631694994,3.4654564626559488,0.0,negative,,,,,,,,,2023-08-07 10:40:00
2023-08-07 11:09:00,entry,3,2712.8347249210906,-6.200317965023853,0.629,0.59,1706.373041975366,1.706373041975366,1.706373041975366,0.17063730419753662,3.5833833881482686,0.0,negative,,,,,,,,,2023-08-07 11:09:00
2023-08-07 15:07:00,exit,1,1808.556483280727,,0.4437,0.4437,802.4565116316585,0.8024565116316585,0.8024565116316585,0.08024565116316586,10.7783839966188,5.3668168526380455,negative,-2.0119720651812436,0.0,2.0119720651812436,16.145200849256845,6.417012011130001,2.6762133110623165,9.093225322192318,normal,2023-08-07 15:07:00
2023-08-07 15:07:00,exit,2,2712.8347249210906,,0.4437,0.4437,1203.684767447488,1.203684767447488,1.203684767447488,0.1203684767447488,16.167575994928203,57.046851747233504,negative,-6.082525069866829,0.0,6.082525069866829,73.2144277421617,9.625518016695002,4.014319966593476,13.639837983288478,normal,2023-08-07 15:07:00
2023-08-07 15:07:00,exit,3,2712.8347249210906,,0.4437,0.4437,1203.684767447488,1.203684767447488,1.203684767447488,0.1203684767447488,16.167575994928203,58.46470688337398,negative,-6.200317965023853,0.0,6.200317965023853,74.63228287830218,9.625518016695002,4.014319966593476,13.639837983288478,normal,2023-08-07 15:07:00
2023-08-07 15:46:00,entry,1,2554.4055167802476,2.0901831845936973,0.4258,0.4347,1087.6658690450295,1.0876658690450296,1.0876658690450296,0.10876658690450296,2.284098324994562,0.0,positive,,,,,,,,,2023-08-07 15:46:00
2023-08-07 16:00:00,exit,1,2554.4055167802476,,0.4189,0.4187,1070.0404709792458,1.070040470979246,1.070040470979246,0.10700404709792459,-17.4570789151105,40.33376601122189,positive,2.0901831845936973,-0.04774409166865074,2.137927276262348,22.87668709611139,-19.75234787161313,0.048183967446209695,-19.70416390416692,normal,2023-08-07 16:00:00
2023-08-07 16:50:00,entry,1,3074.2393132985567,-2.317693612210284,0.3538,0.3456,1087.6658690450295,1.0876658690450296,1.0876658690450296,0.10876658690450296,2.284098324994562,0.0,negative,,,,,,,,,2023-08-07 16:50:00
2023-08-07 17:14:00,exit,1,3074.2393132985567,,0.3691,0.3694,1134.7017305384973,1.1347017305384972,1.1347017305384972,0.11347017305384974,2.6248359605788583,24.59634535974108,negative,-2.317693612210284,0.0812787862367983,2.398972398447082,27.221181320319936,0.0,0.2419623264480141,0.2419623264480141,normal,2023-08-07 17:14:00
2023-09-12 08:50:00,entry,1,5363.243930202314,2.2189349112426053,0.2028,0.2073,1087.6658690450292,1.0876658690450292,1.0876658690450292,0.10876658690450293,2.2840983249945612,0.0,positive,,,,,,,,,2023-09-12 08:50:00
2023-09-12 08:53:00,exit,1,5363.243930202314,,0.2028,0.2023,1087.6658690450292,1.0876658690450292,1.0876658690450292,0.10876658690450293,2.344796509607351,24.471423141404237,positive,2.2189349112426053,-0.2465483234714006,2.465483234714006,26.81621965101159,0.0,0.06069818461278993,0.06069818461278993,normal,2023-09-12 08:53:00
2024-02-28 17:31:00,entry,1,1964.0048195107067,-3.105814373420006,0.5538,0.5366,1087.6658690450292,1.0876658690450292,1.0876658690450292,0.10876658690450293,2.2840983249945612,0.0,negative,,,,,,,,,2024-02-28 17:31:00
2024-02-28 17:33:00,exit,1,1964.0048195107067,,0.5444,0.5449,1069.2042237416288,1.0692042237416288,1.0692042237416288,0.10692042237416288,2.4354657537103375,31.754035118226433,negative,-3.105814373420006,0.09184423218222923,3.197658605602235,34.18950087193677,0.0,0.1901368838529169,0.1901368838529169,normal,2024-02-28 17:33:00
2024-04-12 18:32:00,entry,1,1070.0106926168514,-2.410231185440233,1.0165,0.992,1087.6658690450295,1.0876658690450296,1.0876658690450296,0.10876658690450296,2.284098324994562,0.0,negative,,,,,,,,,2024-04-12 18:32:00
2024-04-12 18:33:00,exit,1,1070.0106926168514,,1.064,1.0662,1138.4913769443299,1.13849137694433,1.13849137694433,0.113849137694433,2.5986842730981596,27.19561346131904,negative,-2.410231185440233,0.20676691729323116,2.616998102733464,29.794297734417203,0.0,0.20785238151506683,0.20785238151506683,normal,2024-04-12 18:33:00
